logNHI,errlogNHI,XperH,errXperH,flag
19.18,0.10,-0.62,0.13,0
19.28,0.02,-0.97,0.20,0
19.30,0.30,0.08,0.30,0
19.32,0.03,-1.69,0.06,0
19.35,0.15,0.37,0.25,0
19.50,0.20,-0.72,0.32,0
19.55,0.15,-0.29,0.17,0
19.55,0.15,-0.84,0.16,0
19.63,0.15,0.28,0.15,0
19.80,0.10,-0.32,0.16,0
19.93,0.13,-0.64,0.22,0
20.40,0.25,0.06,0.16,0
20.42,0.04,-0.35,0.06,0
20.45,0.05,-0.60,0.13,0
20.45,0.15,-0.90,0.16,0
20.49,0.08,-1.20,0.21,0
20.52,0.10,-0.82,0.10,0
20.52,0.14,-1.56,0.23,0
20.55,0.10,-0.59,0.13,0
20.55,0.10,-1.19,0.21,0
20.60,0.20,-0.35,0.23,0
20.68,0.10,-0.55,0.16,0
20.70,0.10,-1.83,0.18,0
21.18,0.06,-1.34,0.24,0
21.45,0.15,-0.48,0.18,0
19.04,0.04,-0.99,0.06,1
19.04,0.04,0.68,0.09,1
19.08,0.04,-0.74,0.05,1
19.10,0.18,0.20,0.25,1
19.18,0.03,0.06,0.06,1
19.18,0.09,-0.88,0.20,1
19.26,0.07,0.34,0.18,1
19.28,0.02,-0.80,0.18,1
19.32,0.10,-0.37,0.10,1
19.35,0.10,-2.30,0.21,1
19.38,0.13,-0.21,0.14,1
19.40,0.02,-0.78,0.18,1
19.41,0.02,-0.01,0.18,1
19.45,0.03,0.49,0.05,1
19.48,0.08,0.34,0.09,1
19.48,0.10,0.24,0.15,1
19.54,0.03,-1.55,0.19,1
19.56,0.02,-0.35,0.18,1
19.60,0.24,-0.57,0.30,1
19.70,0.04,-0.71,0.19,1
19.81,0.09,0.32,0.10,1
19.81,0.13,0.17,0.13,1
19.89,0.09,-1.11,0.10,1
19.90,0.07,-0.34,0.10,1
20.00,0.07,-0.05,0.17,1
20.04,0.06,-0.12,0.19,1
20.04,0.11,-0.53,0.21,1
20.04,0.12,-0.46,0.12,1
20.08,0.06,-0.95,0.12,1
20.08,0.09,-0.41,0.13,1
20.08,0.11,0.03,0.12,1
20.11,0.10,-1.42,0.21,1
20.18,0.15,-0.01,0.15,1
20.20,0.07,-1.01,0.19,1
20.20,0.07,-1.04,0.19,1
20.26,0.02,-1.32,0.04,1
20.30,0.05,-0.89,0.19,1
20.32,0.07,-0.45,0.17,1
20.36,0.10,-0.95,0.23,1
20.36,0.11,-0.47,0.13,1
20.44,0.10,-0.68,0.21,1
20.48,0.15,-1.11,0.15,1
20.54,0.15,0.19,0.26,1
20.60,0.12,-0.82,0.23,1
20.69,0.06,-0.92,0.10,1
20.70,0.09,-1.62,0.22,1
20.70,0.10,-0.73,0.12,1
20.70,0.17,-0.13,0.24,1
20.75,0.07,-0.39,0.12,1
20.85,0.13,-0.48,0.14,1
20.88,0.05,-1.29,0.09,1
20.98,0.07,-0.99,0.10,1
21.00,0.04,-0.50,0.16,1
21.00,0.10,-0.80,0.20,1
21.10,0.10,-0.23,0.11,1
21.15,0.20,-0.51,0.24,1
21.16,0.10,-0.47,0.15,1
21.20,0.10,-0.73,0.21,1
21.25,0.10,-1.09,0.14,1
21.32,0.05,-0.95,0.06,1
21.35,0.10,-1.00,0.13,1
21.38,0.11,-0.87,0.21,1
21.41,0.15,-1.21,0.28,1
21.52,0.07,-1.12,0.09,1
21.54,0.06,-1.51,0.10,1
21.54,0.15,-0.85,0.33,1
21.62,0.06,-1.03,0.06,1
21.62,0.10,-1.47,0.10,1
21.70,0.08,-0.73,0.15,1
21.70,0.10,-1.58,0.45,1
21.70,0.15,-1.33,0.16,1
