W2796 Werror NHI NHIpluserror
1.092 0.129 2.00E20 2.50E20
1.671 0.072 2.00E20 3.10E20
2.900 0.000 2.00E20 2.20E20
2.920 0.230 2.00E20 3.00E20
1.896 0.077 2.10E20 2.40E20
2.120 0.030 2.10E20 2.60E20
1.160 0.040 2.30E20 2.50E20
1.450 0.030 2.30E20 2.70E20
1.618 0.096 2.80E20 3.40E20
1.042 0.056 3.00E20 3.80E20
1.435 0.115 3.00E20 4.00E20
2.272 0.111 3.00E20 5.00E20
2.932 0.074 3.00E20 3.50E20
0.847 0.104 3.30E20 3.90E20
2.011 0.052 3.50E20 4.70E20
2.229 0.071 3.50E20 5.00E20
2.310 0.092 3.50E20 4.50E20
2.758 0.129 3.50E20 5.00E20
1.243 0.102 4.00E20 4.50E20
1.390 0.098 4.00E20 5.10E20
1.972 0.057 4.00E20 6.00E20
1.983 0.055 4.00E20 4.20E20
3.264 0.084 4.00E20 5.00E20
0.740 0.070 4.50E20 6.50E20
1.226 0.107 4.50E20 6.00E20
1.331 0.049 4.50E20 5.00E20
1.252 0.023 4.70E20 5.90E20
1.450 0.010 4.70E20 5.00E20
1.141 0.068 5.00E20 7.00E20
1.400 0.070 5.00E20 6.00E20
1.904 0.040 5.00E20 6.30E20
2.173 0.069 5.00E20 5.50E20
3.104 0.115 5.00E20 6.50E20
1.742 0.058 5.30E20 6.00E20
0.720 0.000 6.00E20 7.50E20
1.932 0.033 6.00E20 7.00E20
2.286 0.056 6.00E20 7.00E20
1.831 0.132 6.50E20 7.20E20
2.571 0.166 6.50E20 5.00E20
1.117 0.077 6.80E20 8.30E20
2.168 0.052 7.00E20 9.00E20
3.217 0.089 7.00E20 9.00E20
0.987 0.060 7.50E20 8.70E20
1.093 0.072 7.50E20 8.20E20
0.610 0.040 7.90E20 9.30E20
0.450 0.037 8.00E20 1.00E21
1.532 0.108 8.00E20 9.00E20
2.050 0.088 9.00E20 1.00E21
2.140 0.060 1.00E21 1.10E21
2.952 0.025 1.00E21 1.10E21
3.173 0.128 1.00E21 1.10E21
2.469 0.122 1.10E21 1.30E21
1.848 0.089 1.40E21 1.60E21
2.980 0.233 1.40E21 2.00E21
2.101 0.091 1.50E21 1.70E21
2.832 0.070 1.50E21 1.60E21
1.923 0.125 1.70E21 2.00E21
2.622 0.098 1.80E21 2.20E21
1.511 0.089 2.00E21 2.50E21
0.630 0.110 2.10E21 2.40E21
1.744 0.138 2.40E21 3.10E21
0.922 0.057 2.60E21 2.40E21
1.120 0.072 2.80E21 3.10E21
1.703 0.119 2.80E21 3.60E21
0.610 0.000 3.20E21 3.40E21
1.122 0.069 3.30E21 3.80E21
1.601 0.082 3.50E21 5.00E21
1.860 0.090 3.90E21 4.50E21
0.950 0.080 4.20E21 5.00E21
2.210 0.120 5.10E21 6.00E21
